name,genre,address,phone,url,source
焼肉 牛王 伊丹店,,兵庫県伊丹市瑞穂町３丁目７,072-784-2900,https://www.hotpepper.jp/strJ002647348/,hotpepper
焼肉にくまる　塚口店,,兵庫県尼崎市南塚口町２-12-9,06-6421-2989,https://www.hotpepper.jp/strJ001285387/,hotpepper
ドラム缶焼肉　にくまる　伊丹店,,兵庫県伊丹市中央１-9-20,072-784-2989,https://www.hotpepper.jp/strJ001198725/,hotpepper
Tesu,,兵庫県尼崎市昭和南通４‐３６,06-6411-2939,https://www.hotpepper.jp/strJ000659555/,hotpepper
昭和の風本店　焼肉しんちゃん,,兵庫県尼崎市昭和南通６-１３４,06-6411-0329,https://www.hotpepper.jp/strJ001277514/,hotpepper
焼肉　牛尼,,兵庫県尼崎市南武庫之荘３-36-11,06-7162-1420,https://www.hotpepper.jp/strJ004444161/,hotpepper
丸正精肉店,,兵庫県尼崎市杭瀬本町２－１７－３,06-6487-0791,https://www.hotpepper.jp/strJ001194777/,hotpepper
尼崎酒場 情熱ホルモン,,兵庫県尼崎市東難波町５-8-26,06-6487-5729,https://www.hotpepper.jp/strJ000655399/,hotpepper
肉と鍋 さとり,,兵庫県尼崎市潮江１-22-1 アミング潮江ウエスト106,06-6439-6566,https://www.hotpepper.jp/strJ003599355/,hotpepper
韓×美dining　武庫之荘bi-eng,,兵庫県尼崎市南武庫之荘２－１－２,06-6432-8228,https://www.hotpepper.jp/strJ000996005/,hotpepper
炭火焼肉　七輪　伊丹店,,兵庫県伊丹市緑ヶ丘６－６－１,0727-78-3002,https://www.hotpepper.jp/strJ000480633/,hotpepper
伊丹ミートセンター,,兵庫県伊丹市瑞穂町１－４０,072-773-6541,https://www.hotpepper.jp/strJ001049176/,hotpepper
焼肉　久太郎　塚口店,,兵庫県尼崎市塚口本町７-14-7,06-4961-4750,https://www.hotpepper.jp/strJ000478505/,hotpepper
焼肉　東京ホルモン3世　立花店,,兵庫県尼崎市西立花町１-2-10,06-6418-6226,https://www.hotpepper.jp/strJ001238846/,hotpepper
お肉屋さんの焼肉居酒屋　はた家,,兵庫県尼崎市東難波町３-19-12,06-6423-8929,https://www.hotpepper.jp/strJ003473036/,hotpepper
明月館,,兵庫県伊丹市稲野町６‐72-3,072-772-6061,https://www.hotpepper.jp/strJ004444517/,hotpepper
焼肉たむら　つかしん店,,兵庫県尼崎市塚口本町４丁目8-1,06-6480-5588,https://www.hotpepper.jp/strJ003715718/,hotpepper
味園,,兵庫県尼崎市築地３-1-1-107,090-4624-5568,https://www.hotpepper.jp/strJ004576489/,hotpepper
焼肉BBQ酒場はっぴぃーぷれいす,,兵庫県尼崎市大庄中通３丁目７９-１４,090-1955-1507,https://www.hotpepper.jp/strJ003828300/,hotpepper
焼肉　まる喜,,兵庫県尼崎市東園田町５-98-1,06-6499-0044,https://www.hotpepper.jp/strJ000996026/,hotpepper
焼肉ホルモン高木ＨＡＮＡＲＥ,,兵庫県伊丹市西台３-2-36,072-700-2869,https://www.hotpepper.jp/strJ003806696/,hotpepper
焼肉いこい,,兵庫県尼崎市上坂部３丁目21‐8,06-6491-8212,https://www.hotpepper.jp/strJ003762535/,hotpepper
炭火焼肉 柳屋,,兵庫県尼崎市潮江4-1-23,06-6493-2989,https://www.hotpepper.jp/strJ000480000/,hotpepper
焼肉いちばん,,兵庫県尼崎市杭瀬本町１丁目10-7,06-6401-2901,https://www.hotpepper.jp/strJ003516197/,hotpepper
かくれや,,兵庫県尼崎市杭瀬本町３‐3-52,06-6482-0908,https://www.hotpepper.jp/strJ003916442/,hotpepper
焼肉　tulip,,兵庫県伊丹市鋳物師１-65－3,072-777-3339,https://www.hotpepper.jp/strJ004025986/,hotpepper
鶏焼肉　凡　園田,,兵庫県尼崎市東園田町４丁目２７－３,06-4400-3177,https://www.hotpepper.jp/strJ004049704/,hotpepper
本格焼肉ポリス,,兵庫県伊丹市西野２丁目10工藤ビル１F,072-769-8629,https://www.hotpepper.jp/strJ003784967/,hotpepper
ワンカット焼肉 牛ごろ,,兵庫県尼崎市神田中通３-６１,070-2385-3456,https://www.hotpepper.jp/strJ003806210/,hotpepper
焼肉　まつ原,,兵庫県尼崎市南武庫之荘１１-8-19,06-6438-3995,https://www.hotpepper.jp/strJ004402348/,hotpepper
